종목코드,종목명,시장,업종,현재가,전일대비,등락률,갱신시각
000020,동화약품,유가,의약품 제조업,5150,0,0.00,2026-09-16 08:41
000040,KR모터스,유가,그외 기타 운송장비 제조업,1106,0,0.00,2026-09-16 08:41
000050,경방,유가,종합 소매업,8180,0,0.00,2026-09-16 08:41
000070,삼양홀딩스,유가,기타 금융업,59800,0,0.00,2026-09-16 08:41
000080,하이트진로,유가,알코올음료 제조업,15120,0,0.00,2026-09-16 08:41
000087,하이트진로2우B,유가,알코올음료 제조업,12410,0,0.00,2026-09-16 08:41
000100,유한양행,유가,의약품 제조업,79300,0,0.00,2026-09-16 08:41
000105,유한양행우,유가,의약품 제조업,68200,0,0.00,2026-09-16 08:41
000120,CJ대한통운,유가,도로 화물 운송업,71700,0,0.00,2026-09-16 08:41
000140,하이트진로홀딩스,유가,기타 금융업,7930,0,0.00,2026-09-16 08:41
000145,하이트진로홀딩스우,유가,기타 금융업,9250,0,0.00,2026-09-16 08:41
000150,두산,유가,전자부품 제조업,1289000,0,0.00,2026-09-16 08:41
000155,두산우,유가,전자부품 제조업,429500,0,0.00,2026-09-16 08:41
000157,두산2우B,유가,전자부품 제조업,350500,0,0.00,2026-09-16 08:41
000180,성창기업지주,유가,회사 본부 및 경영 컨설팅 서비스업,5100,0,0.00,2026-09-16 08:41
0001A0,덕양에너젠,코스닥,연료용 가스 제조 및 배관공급업,8580,0,0.00,2026-09-16 08:41
000210,DL,유가,기초 화학물질 제조업,53500,0,0.00,2026-09-16 08:41
000215,DL우,유가,기초 화학물질 제조업,25000,0,0.00,2026-09-16 08:41
000220,유유제약,유가,의약품 제조업,3830,0,0.00,2026-09-16 08:41
000225,유유제약1우,유가,의약품 제조업,3750,0,0.00,2026-09-16 08:41
000227,유유제약2우B,유가,의약품 제조업,7760,0,0.00,2026-09-16 08:41
000230,일동홀딩스,유가,의약품 제조업,6030,0,0.00,2026-09-16 08:41
000240,한국앤컴퍼니,유가,기타 금융업,24200,0,0.00,2026-09-16 08:41
000250,삼천당제약,코스닥,의약품 제조업,157500,0,0.00,2026-09-16 08:41
000270,기아,유가,자동차용 엔진 및 자동차 제조업,121800,0,0.00,2026-09-16 08:41
000300,DH오토넥스,유가,자동차 신품 부품 제조업,4200,0,0.00,2026-09-16 08:41
000320,노루홀딩스,유가,기타 금융업,16230,0,0.00,2026-09-16 08:41
000325,노루홀딩스우,유가,기타 금융업,28050,0,0.00,2026-09-16 08:41
000370,한화손해보험,유가,보험업,8320,0,0.00,2026-09-16 08:41
000390,SP삼화,유가,기타 화학제품 제조업,6780,0,0.00,2026-09-16 08:41
000400,롯데손해보험,유가,보험업,2045,0,0.00,2026-09-16 08:41
000430,대원강업,유가,자동차 신품 부품 제조업,4845,0,0.00,2026-09-16 08:41
000440,중앙에너비스,코스닥,기타 전문 도매업,13250,0,0.00,2026-09-16 08:41
000480,CR홀딩스,유가,"내화, 비내화 요업제품 제조업",4395,0,0.00,2026-09-16 08:41
000490,대동,유가,특수 목적용 기계 제조업,7930,0,0.00,2026-09-16 08:41
0004V0,엔비알모션,코스닥,기타 금속 가공제품 제조업,5740,0,0.00,2026-09-16 08:41
0004Y0,디비금융제14호스팩,코스닥,기타 금융업,1993,0,0.00,2026-09-16 08:41
000500,가온전선,유가,절연선 및 케이블 제조업,240000,0,0.00,2026-09-16 08:41
000520,삼일제약,유가,의약품 제조업,7010,0,0.00,2026-09-16 08:41
000540,흥국화재,유가,보험업,3615,0,0.00,2026-09-16 08:41
000545,흥국화재우,유가,보험업,5880,0,0.00,2026-09-16 08:41
000590,CS홀딩스,유가,기타 금융업,68000,0,0.00,2026-09-16 08:41
000640,동아쏘시오홀딩스,유가,기타 금융업,94400,0,0.00,2026-09-16 08:41
000650,천일고속,유가,육상 여객 운송업,140000,0,0.00,2026-09-16 08:41
000660,SK하이닉스,유가,반도체 제조업,1690000,0,0.00,2026-09-16 08:41
000670,영풍,유가,1차 비철금속 제조업,50500,0,0.00,2026-09-16 08:41
000680,LS네트웍스,유가,상품 종합 도매업,2925,0,0.00,2026-09-16 08:41
000700,유수홀딩스,유가,회사 본부 및 경영 컨설팅 서비스업,6490,0,0.00,2026-09-16 08:41
000720,현대건설,유가,토목 건설업,128100,0,0.00,2026-09-16 08:41
000725,현대건설우,유가,토목 건설업,54100,0,0.00,2026-09-16 08:41
000760,이화산업,유가,기타 전문 도매업,13350,0,0.00,2026-09-16 08:41
0007C0,아크릴,코스닥,소프트웨어 개발 및 공급업,18350,0,0.00,2026-09-16 08:41
0007J0,인벤테라,코스닥,자연과학 및 공학 연구개발업,9520,0,0.00,2026-09-16 08:41
000810,삼성화재,유가,보험업,661000,0,0.00,2026-09-16 08:41
000815,삼성화재우,유가,보험업,412000,0,0.00,2026-09-16 08:41
000850,화천기공,유가,특수 목적용 기계 제조업,37600,0,0.00,2026-09-16 08:41
000860,강남제비스코,유가,기타 화학제품 제조업,12630,0,0.00,2026-09-16 08:41
000880,한화,유가,기타 화학제품 제조업,137100,0,0.00,2026-09-16 08:41
000890,보해양조,유가,알코올음료 제조업,1333,0,0.00,2026-09-16 08:41
0008Z0,에스엔시스,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",23750,0,0.00,2026-09-16 08:41
000910,유니온,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업",2930,0,0.00,2026-09-16 08:41
000950,전방,유가,방적 및 가공사 제조업,32500,0,0.00,2026-09-16 08:41
000970,한국주철관,유가,1차 철강 제조업,6640,0,0.00,2026-09-16 08:41
000990,DB하이텍,유가,반도체 제조업,116700,0,0.00,2026-09-16 08:41
0009K0,에임드바이오,코스닥,자연과학 및 공학 연구개발업,22600,0,0.00,2026-09-16 08:41
001000,신라섬유,코스닥,부동산 임대 및 공급업,1794,0,0.00,2026-09-16 08:41
001020,페이퍼코리아,유가,"펄프, 종이 및 판지 제조업",2180,0,0.00,2026-09-16 08:41
001040,CJ,유가,기타 금융업,131500,0,0.00,2026-09-16 08:41
001045,CJ우,유가,기타 금융업,68200,0,0.00,2026-09-16 08:41
001060,JW중외제약,유가,의약품 제조업,27100,0,0.00,2026-09-16 08:41
001065,JW중외제약우,유가,의약품 제조업,22350,0,0.00,2026-09-16 08:41
001067,JW중외제약2우B,유가,의약품 제조업,48350,0,0.00,2026-09-16 08:41
001070,대한방직,유가,직물직조 및 직물제품 제조업,5910,0,0.00,2026-09-16 08:41
001080,만호제강,유가,1차 철강 제조업,3630,0,0.00,2026-09-16 08:41
0010F0,보원케미칼,코스닥,플라스틱제품 제조업,2290,0,0.00,2026-09-16 08:41
0010V0,제이피아이헬스케어,코스닥,의료용 기기 제조업,8660,0,0.00,2026-09-16 08:41
001120,LX인터내셔널,유가,상품 중개업,39800,0,0.00,2026-09-16 08:41
001130,대한제분,유가,"곡물가공품, 전분 및 전분제품 제조업",11480,0,0.00,2026-09-16 08:41
0011A0,액스비스,코스닥,기타 전기장비 제조업,12210,0,0.00,2026-09-16 08:41
0011T0,채비,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",5380,0,0.00,2026-09-16 08:41
001200,유진투자증권,유가,금융 지원 서비스업,4300,0,0.00,2026-09-16 08:41
001210,금호전기,유가,전구 및 조명장치 제조업,10800,0,0.00,2026-09-16 08:41
001230,동국홀딩스,유가,기타 금융업,2105,0,0.00,2026-09-16 08:41
001250,GS글로벌,유가,상품 종합 도매업,2605,0,0.00,2026-09-16 08:41
001260,남광토건,유가,토목 건설업,7530,0,0.00,2026-09-16 08:41
001270,부국증권,유가,금융 지원 서비스업,51500,0,0.00,2026-09-16 08:41
001275,부국증권우,유가,금융 지원 서비스업,30050,0,0.00,2026-09-16 08:41
001290,상상인증권,유가,금융 지원 서비스업,4215,0,0.00,2026-09-16 08:41
001340,PKC,유가,기초 화학물질 제조업,4915,0,0.00,2026-09-16 08:41
001360,삼성제약,유가,의약품 제조업,1384,0,0.00,2026-09-16 08:41
001380,SG글로벌,유가,자동차 신품 부품 제조업,1220,0,0.00,2026-09-16 08:41
001390,KG케미칼,유가,기초 화학물질 제조업,4375,0,0.00,2026-09-16 08:41
0013V0,삼진식품,코스닥,수산물 가공 및 저장 처리업,5230,0,0.00,2026-09-16 08:41
001420,태원물산,유가,자동차 신품 부품 제조업,2975,0,0.00,2026-09-16 08:41
001430,세아베스틸지주,유가,1차 철강 제조업,43250,0,0.00,2026-09-16 08:41
001440,대한전선,유가,절연선 및 케이블 제조업,27900,0,0.00,2026-09-16 08:41
001450,현대해상,유가,보험업,49200,0,0.00,2026-09-16 08:41
001460,BYC,유가,봉제의복 제조업,37050,0,0.00,2026-09-16 08:41
001465,BYC우,유가,봉제의복 제조업,26700,0,0.00,2026-09-16 08:41
001470,삼부토건,유가,토목 건설업,5820,0,0.00,2026-09-16 08:41
001500,현대차증권,유가,금융 지원 서비스업,7980,0,0.00,2026-09-16 08:41
001510,SK증권,유가,금융 지원 서비스업,2350,0,0.00,2026-09-16 08:41
001515,SK증권우,유가,금융 지원 서비스업,4060,0,0.00,2026-09-16 08:41
001520,동양,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업",1048,0,0.00,2026-09-16 08:41
001525,동양우,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업",8800,0,0.00,2026-09-16 08:41
001527,동양2우B,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업",6420,0,0.00,2026-09-16 08:41
001530,DI동일,유가,상품 중개업,27050,0,0.00,2026-09-16 08:41
001540,안국약품,코스닥,의약품 제조업,10090,0,0.00,2026-09-16 08:41
001550,조비,유가,"비료, 농약 및 살균, 살충제 제조업",10570,0,0.00,2026-09-16 08:41
001560,제일연마,유가,기타 비금속 광물제품 제조업,9160,0,0.00,2026-09-16 08:41
001570,금양,유가,기초 화학물질 제조업,9900,0,0.00,2026-09-16 08:41
0015G0,그린광학,코스닥,사진장비 및 광학기기 제조업,13930,0,0.00,2026-09-16 08:41
0015N0,아로마티카,코스닥,기타 화학제품 제조업,12870,0,0.00,2026-09-16 08:41
0015S0,페스카로,코스닥,"그외 기타 전문, 과학 및 기술 서비스업",9200,0,0.00,2026-09-16 08:41
001620,케이비아이동국실업,유가,자동차 신품 부품 제조업,2150,0,0.00,2026-09-16 08:41
001630,종근당홀딩스,유가,의약품 제조업,38550,0,0.00,2026-09-16 08:41
001680,대상,유가,기타 식품 제조업,18300,0,0.00,2026-09-16 08:41
001685,대상우,유가,기타 식품 제조업,14490,0,0.00,2026-09-16 08:41
001720,신영증권,유가,금융 지원 서비스업,146200,0,0.00,2026-09-16 08:41
001740,SK네트웍스,유가,기타 전문 도매업,6300,0,0.00,2026-09-16 08:41
001750,한양증권,유가,금융 지원 서비스업,19300,0,0.00,2026-09-16 08:41
001755,한양증권우,유가,금융 지원 서비스업,19400,0,0.00,2026-09-16 08:41
001770,SHD,유가,1차 철강 제조업,9800,0,0.00,2026-09-16 08:41
001780,알루코,유가,1차 비철금속 제조업,1550,0,0.00,2026-09-16 08:41
001790,대한제당,유가,"곡물가공품, 전분 및 전분제품 제조업",2895,0,0.00,2026-09-16 08:41
001795,대한제당우,유가,"곡물가공품, 전분 및 전분제품 제조업",2140,0,0.00,2026-09-16 08:41
0017J0,세미티에스,코스닥,특수 목적용 기계 제조업,2570,0,0.00,2026-09-16 08:41
001800,오리온홀딩스,유가,기타 금융업,24450,0,0.00,2026-09-16 08:41
001810,무림SP,코스닥,"펄프, 종이 및 판지 제조업",1142,0,0.00,2026-09-16 08:41
001820,삼화콘덴서,유가,전자부품 제조업,142500,0,0.00,2026-09-16 08:41
001840,이화공영,코스닥,건물 건설업,2215,0,0.00,2026-09-16 08:41
001940,KISCO홀딩스,유가,1차 철강 제조업,26450,0,0.00,2026-09-16 08:41
002020,코오롱,유가,기타 금융업,24400,0,0.00,2026-09-16 08:41
002025,코오롱우,유가,기타 금융업,13190,0,0.00,2026-09-16 08:41
002030,아세아,유가,회사 본부 및 경영 컨설팅 서비스업,212500,0,0.00,2026-09-16 08:41
002070,비비안,유가,봉제의복 제조업,5430,0,0.00,2026-09-16 08:41
002100,경농,유가,"비료, 농약 및 살균, 살충제 제조업",9070,0,0.00,2026-09-16 08:41
002140,고려산업,유가,"곡물가공품, 전분 및 전분제품 제조업",2040,0,0.00,2026-09-16 08:41
002150,도화엔지니어링,유가,"건축기술, 엔지니어링 및 관련 기술 서비스업",5130,0,0.00,2026-09-16 08:41
002170,SYTS,유가,"가죽, 가방 및 유사제품 제조업",53200,0,0.00,2026-09-16 08:41
002200,한국수출포장,유가,"골판지, 종이 상자 및 종이용기 제조업",2875,0,0.00,2026-09-16 08:41
002210,동성제약,유가,의약품 제조업,1366,0,0.00,2026-09-16 08:41
002220,한일철강,유가,1차 철강 제조업,3025,0,0.00,2026-09-16 08:41
002230,피에스텍,코스닥,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",4945,0,0.00,2026-09-16 08:41
002240,고려제강,유가,1차 철강 제조업,16880,0,0.00,2026-09-16 08:41
002290,삼일기업공사,코스닥,건물 건설업,3320,0,0.00,2026-09-16 08:41
002310,아세아제지,유가,"골판지, 종이 상자 및 종이용기 제조업",8510,0,0.00,2026-09-16 08:41
002320,한진,유가,도로 화물 운송업,14550,0,0.00,2026-09-16 08:41
002350,넥센타이어,유가,고무제품 제조업,5680,0,0.00,2026-09-16 08:41
002355,넥센타이어1우B,유가,고무제품 제조업,3930,0,0.00,2026-09-16 08:41
002360,SH에너지화학,유가,기초 화학물질 제조업,1515,0,0.00,2026-09-16 08:41
002380,KCC,유가,기타 화학제품 제조업,470000,0,0.00,2026-09-16 08:41
002390,한독,유가,의약품 제조업,9190,0,0.00,2026-09-16 08:41
002410,범양건영,유가,건물 건설업,1935,0,0.00,2026-09-16 08:41
002420,우양피앤엘,유가,연료 소매업,5400,0,0.00,2026-09-16 08:41
002450,삼익악기,유가,악기 제조업,1108,0,0.00,2026-09-16 08:41
002460,HS화성,유가,건물 건설업,10770,0,0.00,2026-09-16 08:41
002600,조흥,유가,기타 식품 제조업,137400,0,0.00,2026-09-16 08:41
002620,제일파마홀딩스,유가,회사 본부 및 경영 컨설팅 서비스업,7490,0,0.00,2026-09-16 08:41
002630,오리엔트바이오,유가,의약품 제조업,913,0,0.00,2026-09-16 08:41
002680,한탑,코스닥,"곡물가공품, 전분 및 전분제품 제조업",2670,0,0.00,2026-09-16 08:41
002690,동일제강,유가,1차 철강 제조업,1400,0,0.00,2026-09-16 08:41
002700,신일전자,유가,기계장비 및 관련 물품 도매업,970,0,0.00,2026-09-16 08:41
002710,TCC스틸,유가,1차 철강 제조업,11810,0,0.00,2026-09-16 08:41
002720,국제약품,유가,의약품 제조업,3290,0,0.00,2026-09-16 08:41
002760,보락,유가,기타 화학제품 제조업,996,0,0.00,2026-09-16 08:41
002780,진흥기업,유가,토목 건설업,6870,0,0.00,2026-09-16 08:41
002785,진흥기업우B,유가,토목 건설업,12450,0,0.00,2026-09-16 08:41
002787,진흥기업2우B,유가,토목 건설업,25400,0,0.00,2026-09-16 08:41
002790,아모레퍼시픽홀딩스,유가,기타 화학제품 제조업,26300,0,0.00,2026-09-16 08:41
002795,아모레퍼시픽홀딩스우,유가,기타 화학제품 제조업,11050,0,0.00,2026-09-16 08:41
002800,신신제약,코스닥,의약품 제조업,4480,0,0.00,2026-09-16 08:41
002810,삼영무역,유가,기타 전문 도매업,21350,0,0.00,2026-09-16 08:41
002820,SUN&L,유가,플라스틱제품 제조업,1472,0,0.00,2026-09-16 08:41
002840,미원상사,유가,기타 화학제품 제조업,133000,0,0.00,2026-09-16 08:41
002870,신풍,유가,기타 전문 도매업,1111,0,0.00,2026-09-16 08:41
002880,디와이에이,유가,자동차 신품 부품 제조업,3410,0,0.00,2026-09-16 08:41
002900,TYM,유가,특수 목적용 기계 제조업,6750,0,0.00,2026-09-16 08:41
002920,유성기업,유가,자동차 신품 부품 제조업,1860,0,0.00,2026-09-16 08:41
002960,한국쉘석유,유가,석유 정제품 제조업,509000,0,0.00,2026-09-16 08:41
002990,금호건설,유가,건물 건설업,13300,0,0.00,2026-09-16 08:41
002995,금호건설우,유가,건물 건설업,18020,0,0.00,2026-09-16 08:41
003000,부광약품,유가,의약품 제조업,3845,0,0.00,2026-09-16 08:41
003010,혜인,유가,기계장비 및 관련 물품 도매업,9030,0,0.00,2026-09-16 08:41
003030,세아제강지주,유가,기타 금융업,104600,0,0.00,2026-09-16 08:41
003060,에이프로젠바이오로직스,유가,의약품 제조업,1640,0,0.00,2026-09-16 08:41
003070,코오롱글로벌,유가,토목 건설업,9200,0,0.00,2026-09-16 08:41
003075,코오롱글로벌우,유가,토목 건설업,13470,0,0.00,2026-09-16 08:41
003080,SB성보,유가,"비료, 농약 및 살균, 살충제 제조업",2230,0,0.00,2026-09-16 08:41
003090,대웅,유가,의약품 제조업,16060,0,0.00,2026-09-16 08:41
0030R0,대신밸류리츠,유가,신탁업 및 집합투자업,3825,0,0.00,2026-09-16 08:41
003100,선광,코스닥,기타 운송관련 서비스업,20300,0,0.00,2026-09-16 08:41
003120,일성아이에스,유가,의약품 제조업,22100,0,0.00,2026-09-16 08:41
003160,디아이,유가,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",29700,0,0.00,2026-09-16 08:41
003200,일신방직,유가,방적 및 가공사 제조업,11400,0,0.00,2026-09-16 08:41
003220,대원제약,유가,의약품 제조업,8000,0,0.00,2026-09-16 08:41
003230,삼양식품,유가,기타 식품 제조업,1277000,0,0.00,2026-09-16 08:41
003240,태광산업,유가,화학섬유 제조업,907000,0,0.00,2026-09-16 08:41
003280,흥아해운,유가,해상 운송업,1802,0,0.00,2026-09-16 08:41
003300,한일홀딩스,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업",17770,0,0.00,2026-09-16 08:41
003310,대주산업,코스닥,동물용 사료 및 조제식품 제조업,1629,0,0.00,2026-09-16 08:41
003350,한국화장품제조,유가,기타 화학제품 제조업,14810,0,0.00,2026-09-16 08:41
003380,하림지주,코스닥,기타 금융업,11240,0,0.00,2026-09-16 08:41
003460,유화증권,유가,금융 지원 서비스업,3015,0,0.00,2026-09-16 08:41
003465,유화증권우,유가,금융 지원 서비스업,3240,0,0.00,2026-09-16 08:41
003470,유안타증권,유가,금융 지원 서비스업,4740,0,0.00,2026-09-16 08:41
003475,유안타증권우,유가,금융 지원 서비스업,4310,0,0.00,2026-09-16 08:41
003480,한진중공업홀딩스,유가,연료용 가스 제조 및 배관공급업,4725,0,0.00,2026-09-16 08:41
003490,대한항공,유가,항공 여객 운송업,29350,0,0.00,2026-09-16 08:41
003495,대한항공우,유가,항공 여객 운송업,21850,0,0.00,2026-09-16 08:41
003520,영진약품,유가,의약품 제조업,1040,0,0.00,2026-09-16 08:41
003530,한화투자증권,유가,금융 지원 서비스업,4745,0,0.00,2026-09-16 08:41
003535,한화투자증권우,유가,금융 지원 서비스업,6620,0,0.00,2026-09-16 08:41
003540,대신증권,유가,금융 지원 서비스업,27000,0,0.00,2026-09-16 08:41
003545,대신증권우,유가,금융 지원 서비스업,20250,0,0.00,2026-09-16 08:41
003547,대신증권2우B,유가,금융 지원 서비스업,19550,0,0.00,2026-09-16 08:41
003550,LG,유가,기타 금융업,114300,0,0.00,2026-09-16 08:41
003555,LG우,유가,기타 금융업,67100,0,0.00,2026-09-16 08:41
003570,SNT다이내믹스,유가,자동차 신품 부품 제조업,27600,0,0.00,2026-09-16 08:41
003580,HLB글로벌,유가,종합 소매업,1649,0,0.00,2026-09-16 08:41
003610,방림,유가,직물직조 및 직물제품 제조업,5760,0,0.00,2026-09-16 08:41
003620,KG모빌리티,유가,자동차용 엔진 및 자동차 제조업,2620,0,0.00,2026-09-16 08:41
003650,미창석유,유가,석유 정제품 제조업,131000,0,0.00,2026-09-16 08:41
003670,포스코퓨처엠,유가,일차전지 및 이차전지 제조업,189300,0,0.00,2026-09-16 08:41
003680,한성기업,유가,수산물 가공 및 저장 처리업,4680,0,0.00,2026-09-16 08:41
003690,코리안리,유가,재 보험업,15020,0,0.00,2026-09-16 08:41
003720,삼영,유가,플라스틱제품 제조업,6190,0,0.00,2026-09-16 08:41
003780,진양산업,유가,플라스틱제품 제조업,3915,0,0.00,2026-09-16 08:41
0037T0,KB제32호스팩,코스닥,금융 지원 서비스업,1988,0,0.00,2026-09-16 08:41
003800,에이스침대,코스닥,가구 제조업,32400,0,0.00,2026-09-16 08:41
003830,대한화섬,유가,화학섬유 제조업,114100,0,0.00,2026-09-16 08:41
003850,보령,유가,의약품 제조업,8590,0,0.00,2026-09-16 08:41
003920,남양유업,유가,동·식물성 유지 및 낙농제품 제조업,43150,0,0.00,2026-09-16 08:41
003925,남양유업우,유가,동·식물성 유지 및 낙농제품 제조업,29450,0,0.00,2026-09-16 08:41
003960,사조대림,유가,수산물 가공 및 저장 처리업,28650,0,0.00,2026-09-16 08:41
0039P0,매드업,코스닥,광고업,8230,0,0.00,2026-09-16 08:41
004000,롯데정밀화학,유가,기초 화학물질 제조업,45400,0,0.00,2026-09-16 08:41
004020,현대제철,유가,1차 철강 제조업,35150,0,0.00,2026-09-16 08:41
004060,SG세계물산,유가,상품 종합 도매업,2170,0,0.00,2026-09-16 08:41
004080,신흥,유가,기계장비 및 관련 물품 도매업,14050,0,0.00,2026-09-16 08:41
004090,한국석유,유가,기타 비금속 광물제품 제조업,12310,0,0.00,2026-09-16 08:41
004100,태양금속,유가,자동차 신품 부품 제조업,2855,0,0.00,2026-09-16 08:41
004105,태양금속우,유가,자동차 신품 부품 제조업,3405,0,0.00,2026-09-16 08:41
004140,동방,유가,기타 운송관련 서비스업,1770,0,0.00,2026-09-16 08:41
004150,한솔홀딩스,유가,기타 금융업,3545,0,0.00,2026-09-16 08:41
004170,신세계,유가,종합 소매업,368000,0,0.00,2026-09-16 08:41
0041B0,교보18호스팩,코스닥,금융 지원 서비스업,2005,0,0.00,2026-09-16 08:41
0041J0,엘에스스팩1호,코스닥,금융 지원 서비스업,1994,0,0.00,2026-09-16 08:41
0041L0,하나35호스팩,코스닥,금융 지원 서비스업,1991,0,0.00,2026-09-16 08:41
004250,NPC,유가,플라스틱제품 제조업,2925,0,0.00,2026-09-16 08:41
004255,NPC우,유가,플라스틱제품 제조업,1852,0,0.00,2026-09-16 08:41
004270,남성,유가,기타 전문 도매업,5470,0,0.00,2026-09-16 08:41
004310,현대약품,유가,의약품 제조업,10120,0,0.00,2026-09-16 08:41
004360,세방,유가,도로 화물 운송업,13640,0,0.00,2026-09-16 08:41
004365,세방우,유가,도로 화물 운송업,9270,0,0.00,2026-09-16 08:41
004370,농심,유가,기타 식품 제조업,408500,0,0.00,2026-09-16 08:41
004380,삼익THK,유가,일반 목적용 기계 제조업,7620,0,0.00,2026-09-16 08:41
004410,서울식품,유가,기타 식품 제조업,1189,0,0.00,2026-09-16 08:41
004415,서울식품우,유가,기타 식품 제조업,4630,0,0.00,2026-09-16 08:41
004430,송원산업,유가,기타 화학제품 제조업,11720,0,0.00,2026-09-16 08:41
004440,삼일씨엔에스,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업",4940,0,0.00,2026-09-16 08:41
004450,삼화왕관,유가,기타 금속 가공제품 제조업,27200,0,0.00,2026-09-16 08:41
004490,세방전지,유가,일차전지 및 이차전지 제조업,60800,0,0.00,2026-09-16 08:41
0044K0,삼성스팩10호,코스닥,금융 지원 서비스업,1990,0,0.00,2026-09-16 08:41
004540,깨끗한나라,유가,"펄프, 종이 및 판지 제조업",1245,0,0.00,2026-09-16 08:41
004545,깨끗한나라우,유가,"펄프, 종이 및 판지 제조업",3240,0,0.00,2026-09-16 08:41
004560,현대비앤지스틸,유가,1차 철강 제조업,12450,0,0.00,2026-09-16 08:41
004590,한국가구,코스닥,기타 상품 전문 소매업,5330,0,0.00,2026-09-16 08:41
004650,창해에탄올,코스닥,알코올음료 제조업,9300,0,0.00,2026-09-16 08:41
004690,삼천리,유가,연료용 가스 제조 및 배관공급업,132800,0,0.00,2026-09-16 08:41
004700,조광피혁,유가,"가죽, 가방 및 유사제품 제조업",66200,0,0.00,2026-09-16 08:41
004710,한솔테크닉스,유가,전자부품 제조업,8970,0,0.00,2026-09-16 08:41
004720,팜젠사이언스,유가,의약품 제조업,2970,0,0.00,2026-09-16 08:41
004770,써니전자,유가,전자부품 제조업,2130,0,0.00,2026-09-16 08:41
004780,대륙제관,코스닥,기타 금속 가공제품 제조업,4305,0,0.00,2026-09-16 08:41
004800,효성,유가,기타 금융업,153700,0,0.00,2026-09-16 08:41
004830,덕성,유가,플라스틱제품 제조업,3265,0,0.00,2026-09-16 08:41
004835,덕성우,유가,플라스틱제품 제조업,4285,0,0.00,2026-09-16 08:41
004840,DRB동일,유가,고무제품 제조업,4050,0,0.00,2026-09-16 08:41
004870,티웨이홀딩스,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업",1086,0,0.00,2026-09-16 08:41
004890,동일산업,유가,1차 철강 제조업,35450,0,0.00,2026-09-16 08:41
004910,조광페인트,유가,기타 화학제품 제조업,3475,0,0.00,2026-09-16 08:41
004920,씨아이테크,유가,영상 및 음향기기 제조업,907,0,0.00,2026-09-16 08:41
004960,한신공영,유가,건물 건설업,11690,0,0.00,2026-09-16 08:41
004970,신라교역,유가,어로 어업,9220,0,0.00,2026-09-16 08:41
004980,성신양회,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업",8130,0,0.00,2026-09-16 08:41
004985,성신양회우,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업",8620,0,0.00,2026-09-16 08:41
004990,롯데지주,유가,기타 금융업,24950,0,0.00,2026-09-16 08:41
005010,휴스틸,유가,1차 철강 제조업,3915,0,0.00,2026-09-16 08:41
005030,부산주공,유가,자동차 신품 부품 제조업,486,0,0.00,2026-09-16 08:41
005070,코스모신소재,유가,기타 화학제품 제조업,41250,0,0.00,2026-09-16 08:41
005090,SGC에너지,유가,전기업,55300,0,0.00,2026-09-16 08:41
005110,한창,유가,기계장비 및 관련 물품 도매업,1254,0,0.00,2026-09-16 08:41
005160,동국산업,코스닥,1차 철강 제조업,3075,0,0.00,2026-09-16 08:41
005180,빙그레,유가,동·식물성 유지 및 낙농제품 제조업,87100,0,0.00,2026-09-16 08:41
005250,녹십자홀딩스,유가,회사 본부 및 경영 컨설팅 서비스업,9650,0,0.00,2026-09-16 08:41
005257,녹십자홀딩스2우,유가,회사 본부 및 경영 컨설팅 서비스업,17890,0,0.00,2026-09-16 08:41
005290,동진쎄미켐,코스닥,기초 화학물질 제조업,39700,0,0.00,2026-09-16 08:41
005300,롯데칠성,유가,비알코올음료 및 얼음 제조업,96300,0,0.00,2026-09-16 08:41
005305,롯데칠성우,유가,비알코올음료 및 얼음 제조업,65800,0,0.00,2026-09-16 08:41
005320,온타이드,유가,생활용품 도매업,1218,0,0.00,2026-09-16 08:41
005360,모나미,유가,생활용품 도매업,1278,0,0.00,2026-09-16 08:41
005380,현대차,유가,자동차용 엔진 및 자동차 제조업,367000,0,0.00,2026-09-16 08:41
005385,현대차우,유가,자동차용 엔진 및 자동차 제조업,175500,0,0.00,2026-09-16 08:41
005387,현대차2우B,유가,자동차용 엔진 및 자동차 제조업,173700,0,0.00,2026-09-16 08:41
005389,현대차3우B,유가,자동차용 엔진 및 자동차 제조업,172200,0,0.00,2026-09-16 08:41
005420,코스모화학,유가,기타 화학제품 제조업,10560,0,0.00,2026-09-16 08:41
005430,한국공항,유가,기타 운송관련 서비스업,77900,0,0.00,2026-09-16 08:41
005440,현대지에프홀딩스,유가,기타 금융업,13560,0,0.00,2026-09-16 08:41
005490,POSCO홀딩스,유가,1차 철강 제조업,332000,0,0.00,2026-09-16 08:41
