종목코드,종목명,시장,업종,현재가,전일대비,등락률,갱신시각
035150,백산,유가,플라스틱제품 제조업,10580,0,0.00,2026-09-16 08:41
035200,프럼파스트,코스닥,플라스틱제품 제조업,2645,0,0.00,2026-09-16 08:41
035250,강원랜드,유가,유원지 및 기타 오락관련 서비스업,14730,0,0.00,2026-09-16 08:41
035290,골드앤에스,코스닥,"서적, 잡지 및 기타 인쇄물 출판업",414,0,0.00,2026-09-16 08:41
035420,NAVER,유가,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",206000,0,0.00,2026-09-16 08:41
035460,기산텔레콤,코스닥,통신 및 방송 장비 제조업,2335,0,0.00,2026-09-16 08:41
035510,신세계 I&C,유가,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",15330,0,0.00,2026-09-16 08:41
035600,KG이니시스,코스닥,소프트웨어 개발 및 공급업,10050,0,0.00,2026-09-16 08:41
035610,솔본,코스닥,회사 본부 및 경영 컨설팅 서비스업,5030,0,0.00,2026-09-16 08:41
035620,바른손이앤에이,코스닥,"영화, 비디오물, 방송프로그램 제작 및 배급업",617,0,0.00,2026-09-16 08:41
035720,카카오,유가,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",34500,0,0.00,2026-09-16 08:41
035760,CJ ENM,코스닥,텔레비전 방송업,38000,0,0.00,2026-09-16 08:41
035810,이지홀딩스,코스닥,동물용 사료 및 조제식품 제조업,4570,0,0.00,2026-09-16 08:41
035890,서희건설,코스닥,건물 건설업,2325,0,0.00,2026-09-16 08:41
035900,JYP Ent.,코스닥,오디오물 출판 및 원판 녹음업,39150,0,0.00,2026-09-16 08:41
036000,예림당,코스닥,"서적, 잡지 및 기타 인쇄물 출판업",2760,0,0.00,2026-09-16 08:41
036010,아비코전자,코스닥,전자부품 제조업,6560,0,0.00,2026-09-16 08:41
036030,케이티알파,코스닥,상품 중개업,4815,0,0.00,2026-09-16 08:41
036090,위지트,코스닥,특수 목적용 기계 제조업,1304,0,0.00,2026-09-16 08:41
036120,서울평가정보,코스닥,기타 정보 서비스업,1658,0,0.00,2026-09-16 08:41
036170,에이치엠넥스,코스닥,반도체 제조업,2395,0,0.00,2026-09-16 08:41
036190,금화피에스시,코스닥,전기 및 통신 공사업,33950,0,0.00,2026-09-16 08:41
036200,유니셈,코스닥,특수 목적용 기계 제조업,9040,0,0.00,2026-09-16 08:41
036220,오상헬스케어,코스닥,의료용 기기 제조업,7210,0,0.00,2026-09-16 08:41
036420,콘텐트리중앙,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업",1634,0,0.00,2026-09-16 08:41
036460,한국가스공사,유가,연료용 가스 제조 및 배관공급업,36900,0,0.00,2026-09-16 08:41
036480,대성미생물,코스닥,의약품 제조업,6110,0,0.00,2026-09-16 08:41
036530,SNT홀딩스,유가,기타 금융업,46700,0,0.00,2026-09-16 08:41
036540,SFA반도체,코스닥,반도체 제조업,8600,0,0.00,2026-09-16 08:41
036560,KZ정밀,코스닥,일반 목적용 기계 제조업,12110,0,0.00,2026-09-16 08:41
036570,NC,유가,소프트웨어 개발 및 공급업,204000,0,0.00,2026-09-16 08:41
036580,팜스코,유가,"곡물가공품, 전분 및 전분제품 제조업",2585,0,0.00,2026-09-16 08:41
036620,감성코퍼레이션,코스닥,기타 전문 도매업,3750,0,0.00,2026-09-16 08:41
036630,세종텔레콤,코스닥,전기 및 통신 공사업,8430,0,0.00,2026-09-16 08:41
036640,HRS,코스닥,합성고무 및 플라스틱 물질 제조업,5020,0,0.00,2026-09-16 08:41
036670,삼양케이씨아이,코스닥,기타 화학제품 제조업,5050,0,0.00,2026-09-16 08:41
036690,코맥스,코스닥,통신 및 방송 장비 제조업,2885,0,0.00,2026-09-16 08:41
036710,심텍홀딩스,코스닥,회사 본부 및 경영 컨설팅 서비스업,3900,0,0.00,2026-09-16 08:41
036800,나이스정보통신,코스닥,전기 통신업,7950,0,0.00,2026-09-16 08:41
036810,에프에스티,코스닥,전자부품 제조업,26350,0,0.00,2026-09-16 08:41
036830,솔브레인홀딩스,코스닥,회사 본부 및 경영 컨설팅 서비스업,41650,0,0.00,2026-09-16 08:41
036890,진성티이씨,코스닥,특수 목적용 기계 제조업,12190,0,0.00,2026-09-16 08:41
036930,주성엔지니어링,코스닥,특수 목적용 기계 제조업,192800,0,0.00,2026-09-16 08:41
037030,파워넷,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",3360,0,0.00,2026-09-16 08:41
037070,파세코,코스닥,가정용 기기 제조업,6180,0,0.00,2026-09-16 08:41
037230,한국팩키지,코스닥,"골판지, 종이 상자 및 종이용기 제조업",1411,0,0.00,2026-09-16 08:41
037270,YG PLUS,유가,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",3165,0,0.00,2026-09-16 08:41
037330,인지디스플레,코스닥,전자부품 제조업,712,0,0.00,2026-09-16 08:41
037350,성도이엔지,코스닥,"건축기술, 엔지니어링 및 관련 기술 서비스업",7190,0,0.00,2026-09-16 08:41
037370,EG,코스닥,기초 화학물질 제조업,4165,0,0.00,2026-09-16 08:41
037400,우리엔터프라이즈,코스닥,상품 종합 도매업,3675,0,0.00,2026-09-16 08:41
037440,희림,코스닥,"건축기술, 엔지니어링 및 관련 기술 서비스업",4190,0,0.00,2026-09-16 08:41
037460,삼지전자,코스닥,통신 및 방송 장비 제조업,29950,0,0.00,2026-09-16 08:41
037560,LG헬로비전,유가,텔레비전 방송업,1572,0,0.00,2026-09-16 08:41
037710,광주신세계,유가,종합 소매업,35050,0,0.00,2026-09-16 08:41
037760,쎄니트,코스닥,1차 철강 제조업,2335,0,0.00,2026-09-16 08:41
037950,엘컴텍,코스닥,전자부품 제조업,2770,0,0.00,2026-09-16 08:41
038010,제일테크노스,코스닥,"구조용 금속제품, 탱크 및 증기발생기 제조업",5190,0,0.00,2026-09-16 08:41
038060,루멘스바이오스,코스닥,반도체 제조업,689,0,0.00,2026-09-16 08:41
038070,서린바이오,코스닥,기타 전문 도매업,4060,0,0.00,2026-09-16 08:41
038110,에코플라스틱,코스닥,자동차 신품 부품 제조업,2020,0,0.00,2026-09-16 08:41
038290,마크로젠,코스닥,"그외 기타 전문, 과학 및 기술 서비스업",11750,0,0.00,2026-09-16 08:41
038390,레드캡투어,코스닥,여행사 및 기타 여행보조 서비스업,10000,0,0.00,2026-09-16 08:41
038460,바이오스마트,코스닥,전자부품 제조업,2695,0,0.00,2026-09-16 08:41
038500,삼표시멘트,코스닥,기타 비금속 광물제품 제조업,6790,0,0.00,2026-09-16 08:41
038530,케이바이오랩스,코스닥,생활용품 도매업,999,0,0.00,2026-09-16 08:41
038540,상상인,코스닥,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1968,0,0.00,2026-09-16 08:41
038620,위즈코프,코스닥,연료 소매업,1900,0,0.00,2026-09-16 08:41
038680,에스넷,코스닥,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",3750,0,0.00,2026-09-16 08:41
038870,에코심플렉스,코스닥,사업시설 유지·관리 서비스업,1953,0,0.00,2026-09-16 08:41
038880,아이에이,코스닥,전자부품 제조업,3265,0,0.00,2026-09-16 08:41
038950,파인디지털,코스닥,통신 및 방송 장비 제조업,3005,0,0.00,2026-09-16 08:41
039010,현대에이치티,코스닥,통신 및 방송 장비 제조업,7850,0,0.00,2026-09-16 08:41
039020,이건홀딩스,코스닥,제재 및 목재 가공업,2600,0,0.00,2026-09-16 08:41
039030,이오테크닉스,코스닥,특수 목적용 기계 제조업,446500,0,0.00,2026-09-16 08:41
039130,하나투어,유가,여행사 및 기타 여행보조 서비스업,32750,0,0.00,2026-09-16 08:41
039200,오스코텍,코스닥,의약품 제조업,34600,0,0.00,2026-09-16 08:41
039240,경남스틸,코스닥,1차 철강 제조업,1927,0,0.00,2026-09-16 08:41
039290,인포뱅크,코스닥,기타 정보 서비스업,3830,0,0.00,2026-09-16 08:41
039310,세중,코스닥,소프트웨어 개발 및 공급업,1280,0,0.00,2026-09-16 08:41
039340,한국경제TV,코스닥,텔레비전 방송업,4945,0,0.00,2026-09-16 08:41
039420,케이엘넷,코스닥,전기 통신업,2785,0,0.00,2026-09-16 08:41
039440,에스티아이,코스닥,특수 목적용 기계 제조업,18810,0,0.00,2026-09-16 08:41
039490,키움증권,유가,금융 지원 서비스업,268500,0,0.00,2026-09-16 08:41
039560,다산네트웍스,코스닥,통신 및 방송 장비 제조업,2325,0,0.00,2026-09-16 08:41
039570,HDC랩스,유가,전기 및 통신 공사업,7540,0,0.00,2026-09-16 08:41
039610,화성밸브,코스닥,일반 목적용 기계 제조업,6090,0,0.00,2026-09-16 08:41
039740,한국정보공학,코스닥,기타 전문 도매업,3170,0,0.00,2026-09-16 08:41
039830,오로라,코스닥,전문디자인업,14370,0,0.00,2026-09-16 08:41
039840,디오,코스닥,의료용 기기 제조업,10560,0,0.00,2026-09-16 08:41
039860,나노엔텍,코스닥,의료용 기기 제조업,4110,0,0.00,2026-09-16 08:41
039980,폴라리스AI,코스닥,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",5130,0,0.00,2026-09-16 08:41
040160,누리플렉스,코스닥,소프트웨어 개발 및 공급업,6190,0,0.00,2026-09-16 08:41
040300,YTN,코스닥,"영화, 비디오물, 방송프로그램 제작 및 배급업",2635,0,0.00,2026-09-16 08:41
040350,크레오에스지,코스닥,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",3935,0,0.00,2026-09-16 08:41
040420,정상제이엘에스,코스닥,일반 교습 학원,5800,0,0.00,2026-09-16 08:41
040610,SG&G,코스닥,자동차 신품 부품 제조업,3160,0,0.00,2026-09-16 08:41
040910,아이씨디,코스닥,특수 목적용 기계 제조업,4115,0,0.00,2026-09-16 08:41
041020,폴라리스오피스,코스닥,소프트웨어 개발 및 공급업,3025,0,0.00,2026-09-16 08:41
041190,우리기술투자,코스닥,기타 금융업,5610,0,0.00,2026-09-16 08:41
041440,현대에버다임,코스닥,특수 목적용 기계 제조업,6640,0,0.00,2026-09-16 08:41
041460,한국전자인증,코스닥,소프트웨어 개발 및 공급업,3485,0,0.00,2026-09-16 08:41
041510,에스엠,코스닥,오디오물 출판 및 원판 녹음업,87500,0,0.00,2026-09-16 08:41
041520,이엘씨,코스닥,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",11690,0,0.00,2026-09-16 08:41
