구분,이름,값,전일대비,등락률,기준시각
국내,코스피,6887.31,200.10,2.99,2026-09-07 10:15
국내,코스닥,825.61,12.11,1.49,2026-09-07 10:15
해외,다우,53414.25,-271.86,-0.51,2026-09-07 10:15
해외,나스닥,26506.99,-77.07,-0.29,2026-09-07 10:15
해외,S&P 500,7718.60,-29.11,-0.38,2026-09-07 10:15
해외,VIX,14.53,0.21,1.47,2026-09-07 10:15
환율,원/달러,1336.80,,-0.94,2026-09-07 10:15
